Metabolite,Median FoldChange_clinical,p_clinical,Median FoldChange_risk,p_risk,direction
HDL_CE,1.047907823,0.015428957,1.064517696,2.63313E-12,up
S_LDL_PL,1.067606791,0.016299854,1.080992598,1.88073E-19,up
M_VLDL_P,1.080342352,0.016680826,1.118521301,1.0607E-17,up
L_HDL_PL,1.088999547,0.018039838,1.097184611,4.52426E-09,up
XL_HDL_FC_pct,0.970956345,0.02026703,0.970396298,1.35166E-06,down
Omega_6,1.030232157,0.022641004,1.041778774,1.57423E-12,up
S_VLDL_PL,1.071649613,0.023210948,1.094372363,8.97246E-17,up
M_LDL_FC_pct,1.027577872,0.025529162,1.018179809,3.14598E-07,up
HDL_P,1.047276391,0.026955341,1.044484181,5.79718E-11,up
S_LDL_CE_pct,1.010636198,0.027439749,1.0095368,2.72037E-08,up
XXL_VLDL_C_pct,1.070349862,0.028515133,1.04546806,3.77266E-07,up
LA,1.033278207,0.029784707,1.049773136,1.81442E-11,up
HDL_L,1.037354909,0.031203407,1.045747879,1.51332E-09,up
TG_by_PG,0.919382578,0.032602752,0.947021697,4.25625E-05,down
PUFA,1.030921096,0.033119931,1.051026841,1.87192E-14,up
VLDL_size,0.992631365,0.035880594,0.994521521,0.000382301,down
ApoA1,1.024276236,0.036538029,1.038636277,3.30428E-09,up
LDL_size,1.000418831,0.038385862,1.000795978,2.87422E-08,up
L_HDL_TG_pct,0.905026597,0.040537486,0.929353277,5.02472E-06,down
M_HDL_FC,1.04749581,0.04169568,1.061693068,9.40421E-09,up
M_HDL_PL_pct,0.993071208,0.044060099,0.99397076,2.23829E-08,down
PUFA_by_MUFA,1.037092638,0.045261066,1.046400914,8.93767E-08,up
